3406263	3406526
3413083	3413598
3505048	3505539
3575979	3576288
3576472	3576874
3595809	3596123
3785666	3785955
4322698	4322908
4651798	4652227
4661301	4661947
4759129	4759347
4759983	4760265
4774160	4774327
4781603	4782010
4791701	4792055
4798705	4798977
4813817	4814019
5124152	5124496
5175354	5175579
5316381	5316694
6205504	6205688
6207582	6207870
7079857	7080222
7099541	7099860
7111186	7111490
7737057	7737288
8407215	8407414
8631732	8631982
8831989	8832204
8839805	8839984
8861501	8861803
8862892	8863272
8866771	8866913
8922460	8922704
9535223	9535447
9550016	9550340
9554038	9554470
9574674	9575023
9611685	9612027
9621563	9621943
9628722	9628937
9635641	9635931
9721541	9721759
9736116	9736528
9777600	9777832
9803083	9803268
9813143	9813294
9897261	9897497
9937634	9938039
9959175	9959401
9973065	9973322
9975682	9976049
9978263	9978577
9978981	9979251
10088848	10089063
10148506	10148789
10594305	10594555
10994800	10995072
11007371	11007570
12634846	12634933
13161263	13161467
13193822	13194139
13226128	13226399
13227898	13228116
13231540	13231676
13291634	13291924
13295084	13295315
13302609	13302837
13313320	13313690
13333087	13333268
13427757	13428233
13457271	13457645
13474481	13474637
13477873	13478343
13507269	13507452
13636616	13636860
13646330	13646529
13649151	13649377
13689738	13690011
14169869	14170019
15203551	15203888
15598436	15598773
15599686	15599848
15823189	15823498
15823609	15823819
15867143	15867382
15980007	15980171
15986895	15987126
15987240	15987519
15997974	15998233
16006564	16006884
16104216	16104437
16218456	16218725
16299107	16299324
16387413	16387591
16389327	16389560
16560847	16561085
16576704	16576977
16597608	16597885
19692831	19693105
20059834	20060218
20122172	20122381
20296212	20296470
20471926	20472203
20810328	20810741
20930161	20930468
21021421	21021739
21027983	21028281
21122394	21122665
21221900	21222309
21230347	21230770
21231438	21231770
21234196	21234445
21236268	21236554
21243068	21243316
21294238	21294709
21294745	21295011
21295702	21295960
21305907	21306237
21310319	21310638
21316761	21317203
21521045	21521218
21873428	21873683
22106738	22107030
22107268	22107491
22126786	22127024
22306068	22306323
22322563	22322743
22652192	22652496
22658786	22658980
22679429	22679698
22917744	22918251
23003495	23003904
23068780	23069076
23153548	23153781
23170254	23170815
23194349	23194612
23244449	23244685
23245079	23245342
23268372	23268537
23272790	23273204
23277436	23277659
23327609	23327879
23418392	23418711
23440537	23440761
23487924	23488251
23491436	23491903
23886039	23886263
24014455	24014690
24095803	24096116
24114217	24114532
24114987	24115336
24134779	24135029
24619925	24619986
24685073	24685290
24757264	24757424
24800398	24800746
24800798	24801037
24819267	24819500
26641433	26641729
27989506	27989733
30640824	30641077
30931336	30931638
31007091	31007385
31048969	31049214
31050992	31051164
31070172	31070437
31072901	31073343
31074470	31074731
31076071	31076454
31090790	31091123
31092835	31093060
31107246	31107528
31129802	31130287
31150789	31151226
31151593	31152031
31153205	31153632
31210015	31210287
31210879	31211130
31240051	31240263
31287661	31287864
33088901	33089091
33099269	33099615
33152425	33152574
33153713	33154106
33155778	33156107
33270830	33271060
33271196	33271603
33336815	33337121
33790962	33791227
34004916	34005155
34053028	34053310
34109371	34109608
34160479	34160861
34221623	34221842
34224363	34224657
34294719	34295053
34456611	34456754
34472209	34472485
34542669	34542970
